"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;", , , , , , , , , , , , , , , , ";"";17;"";;;
2;"C1";"C_0402_1005Metric";1;"2.2nF";;;
3;"C2, C4, C9, C18, C109, C149, C150, C164, C165";"C_0402_1005Metric";9;"1nF";;;
4;"C3";"C_0402_1005Metric";1;"12pF";;;
5;"C5";"C_0402_1005Metric";1;"330nF";;;
6;"C6, C8, C34, C37, C58, C58, C64, C67, C70, C72, C74, C76, C78, C80, C94, C105, C108";"C_0402_1005Metric";17;"1µF";;;
7;"C7";"C_0402_1005Metric";1;"4.7µF";;;
8;"C10, C14, C87, C96, C101, C102, C103, C107, C141, C147, C156, C162";"C_0402_1005Metric";12;"100nF";;;
9;"C12, C142, C157";"C_0402_1005Metric";3;"2.2µF";;;
10;"C16, C19, C22, C39, C45, C48, C61, C65, C81, C81, C81, C84, C85, C86, C110, C111, C112, C113, C117, C118, C121, C122, C123, C124, C125, C126, C127, C129, C130";"C_0603_1608Metric";29;"10uF";;;
11;"C21, C24, C151, C152, C153, C154, C155, C158, C159, C160, C161, C163, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C199, C200, C201, C202, C203";"C_1206_3216Metric";49;"100µF";;;
12;"C22";"C_0402_1005Metric";1;"10nf";;;
13;"C59, C100";"C_0402_1005Metric";2;"0.1uF";;;
14;"C62";"C_0402_1005Metric";1;"100nf";;;
15;"C62";"C_0402_1005Metric";1;"100pF";;;
16;"C88";"C_0402_1005Metric";1;"33pf";;;
17;"C92, C135";"CP_Elec_8x10";2;"220µF";;;
18;"C114, C115, C116";"C_0402_1005Metric";3;"22pF";;;
19;"C119, C120";"C_0603_1608Metric";2;"10µF";;;
20;"D1";"D_SMB";1;"5KPxxA";;;
21;"D2";"D_SOD-128";1;"~";;;
22;"D3";"D_SOD-123";1;"1N5819";;;
23;"FB1";"FB0603";1;"~";;;
24;"J1";"XT30PW-M";1;"XT30";;;
25;"L1, L5, L6";"IFLR-4031GC-01-8x10";3;"220nH";;;
26;"L5";"L_Changjiang_FTC201612S";1;"4.7uH";;;
27;"M1, M2";"FanPinHeader_1x04_P2.54mm_Vertical";2;"Fan_4pin";;;
28;"R1";"R_0402_1005Metric";1;"16.5k";;;
29;"R2";"R_0402_1005Metric";1;"24.3k";;;
30;"R3";"R_0402_1005Metric";1;"66.5k";;;
31;"R4";"R_0402_1005Metric";1;"100k";;;
32;"R5";"R_0402_1005Metric";1;"121k";;;
33;"R6";"R_0402_1005Metric";1;"8.06k";;;
34;"R7";"R_0402_1005Metric";1;"2.55k";;;
35;"R8, R17";"R_0402_1005Metric";2;"4.7k";;;
36;"R10, R11, R14, R15, R25, R27";"R_0805_2012Metric";6;"1R/0.5w";;;
37;"R12, R13";"R_0402_1005Metric";2;"2.2R";;;
38;"R13";"R_0402_1005Metric";1;"84.5k";;;
39;"R14";"R_0402_1005Metric";1;"16.2k";;;
40;"R21, R21, R22, R31, R36, R37, R38";"R_0402_1005Metric";7;"10k";;;
41;"R26";"R_0402_1005Metric";1;"20k";;;
42;"R33, R35";"R_0402_1005Metric";2;"2.7k";;;
43;"R39, R40";"R_0402_1005Metric";2;"100R";;;
44;"R44, R44, R47";"R_0402_1005Metric";3;"1k";;;
45;"U3";"Texas_RHA0040B_VQFN-40-1EP_6x6mm_P0.5mm_EP4.15x4.15mm_ThermalVias";1;"TPS53647";;;
46;"U4, U9, U10";"CSD95472-SON-5x6";3;"CSD95472Q5MC";;;
47;"U5";"B1373CC";1;"~";;;
48;"U6";"TSSOP-16_4.4x5mm_P0.65mm";1;"SN74AVC4T774";;;
49;"U7";"SOT-23-5";1;"MCP1824T-0802E";;;
50;"U8";"Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm";1;"25MHz";;;
51;"U14";"SOT-23-6";1;"~";;;
52;"U30";"T-Display-S3";1;"T-Display-S3";;;
53;"U32";"MSOP-10_3x3mm_P0.5mm";1;"EMC2302-1";;;
54;"U33";"VSSOP-8_2.3x2mm_P0.5mm";1;"TXU0102-DCU";;;
55;"U36";"SOT-23-5";1;"MCP1824T-1202E";;;
56;"U37, U38";"TMP1075-DRL";2;"TMP1075";;;
